#,#,#,#,#,#
1,374.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,376.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,377.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,378.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,379.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,381.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,387.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,389.x1.GQI126,800.x1.GQI122,400.x1.GQI122,0,0
1,400.x1.GQI122,0,0,2,0
1,800.x1.GQI122,0,0,1,0
